u,v,lat_u,lon_u,lat_v,lon_v,distance_m,speed_kph,toll,one_way,road_class
N0_0,N0_1,12.9,77.5,12.9,77.502,300,40,0,0,residential
N0_1,N0_0,12.9,77.502,12.9,77.5,300,40,0,0,residential
N0_0,N1_0,12.9,77.5,12.902000000000001,77.5,300,35,0,0,residential
N1_0,N0_0,12.902000000000001,77.5,12.9,77.5,300,35,0,0,residential
N0_1,N0_2,12.9,77.502,12.9,77.504,300,40,0,0,residential
N0_2,N0_1,12.9,77.504,12.9,77.502,300,40,0,0,residential
N0_1,N1_1,12.9,77.502,12.902000000000001,77.502,300,35,0,0,residential
N1_1,N0_1,12.902000000000001,77.502,12.9,77.502,300,35,0,0,residential
N0_2,N0_3,12.9,77.504,12.9,77.506,300,40,0,0,residential
N0_3,N0_2,12.9,77.506,12.9,77.504,300,40,0,0,residential
N0_2,N1_2,12.9,77.504,12.902000000000001,77.504,300,35,0,0,residential
N1_2,N0_2,12.902000000000001,77.504,12.9,77.504,300,35,0,0,residential
N0_3,N0_4,12.9,77.506,12.9,77.508,300,40,0,0,residential
N0_4,N0_3,12.9,77.508,12.9,77.506,300,40,0,0,residential
N0_3,N1_3,12.9,77.506,12.902000000000001,77.506,300,35,0,0,residential
N1_3,N0_3,12.902000000000001,77.506,12.9,77.506,300,35,0,0,residential
N0_4,N1_4,12.9,77.508,12.902000000000001,77.508,300,35,0,0,residential
N1_4,N0_4,12.902000000000001,77.508,12.9,77.508,300,35,0,0,residential
N1_0,N1_1,12.902000000000001,77.5,12.902000000000001,77.502,300,40,0,0,residential
N1_1,N1_0,12.902000000000001,77.502,12.902000000000001,77.5,300,40,0,0,residential
N1_0,N2_0,12.902000000000001,77.5,12.904,77.5,300,35,0,0,residential
N2_0,N1_0,12.904,77.5,12.902000000000001,77.5,300,35,0,0,residential
N1_1,N1_2,12.902000000000001,77.502,12.902000000000001,77.504,300,40,0,0,residential
N1_2,N1_1,12.902000000000001,77.504,12.902000000000001,77.502,300,40,0,0,residential
N1_1,N2_1,12.902000000000001,77.502,12.904,77.502,300,35,0,0,residential
N2_1,N1_1,12.904,77.502,12.902000000000001,77.502,300,35,0,0,residential
N1_2,N1_3,12.902000000000001,77.504,12.902000000000001,77.506,300,40,0,0,residential
N1_3,N1_2,12.902000000000001,77.506,12.902000000000001,77.504,300,40,0,0,residential
N1_2,N2_2,12.902000000000001,77.504,12.904,77.504,300,35,0,0,residential
N2_2,N1_2,12.904,77.504,12.902000000000001,77.504,300,35,0,0,residential
N1_3,N1_4,12.902000000000001,77.506,12.902000000000001,77.508,300,40,0,0,residential
N1_4,N1_3,12.902000000000001,77.508,12.902000000000001,77.506,300,40,0,0,residential
N1_3,N2_3,12.902000000000001,77.506,12.904,77.506,300,35,0,0,residential
N2_3,N1_3,12.904,77.506,12.902000000000001,77.506,300,35,0,0,residential
N1_4,N2_4,12.902000000000001,77.508,12.904,77.508,300,35,0,0,residential
N2_4,N1_4,12.904,77.508,12.902000000000001,77.508,300,35,0,0,residential
N2_0,N2_1,12.904,77.5,12.904,77.502,300,40,0,0,residential
N2_1,N2_0,12.904,77.502,12.904,77.5,300,40,0,0,residential
N2_0,N3_0,12.904,77.5,12.906,77.5,300,35,0,0,residential
N3_0,N2_0,12.906,77.5,12.904,77.5,300,35,0,0,residential
N2_1,N2_2,12.904,77.502,12.904,77.504,300,40,0,0,residential
N2_2,N2_1,12.904,77.504,12.904,77.502,300,40,0,0,residential
N2_1,N3_1,12.904,77.502,12.906,77.502,300,35,0,0,residential
N3_1,N2_1,12.906,77.502,12.904,77.502,300,35,0,0,residential
N2_2,N2_3,12.904,77.504,12.904,77.506,300,40,0,0,residential
N2_3,N2_2,12.904,77.506,12.904,77.504,300,40,0,0,residential
N2_2,N3_2,12.904,77.504,12.906,77.504,300,35,0,0,residential
N3_2,N2_2,12.906,77.504,12.904,77.504,300,35,0,0,residential
N2_3,N2_4,12.904,77.506,12.904,77.508,300,40,0,0,residential
N2_4,N2_3,12.904,77.508,12.904,77.506,300,40,0,0,residential
N2_3,N3_3,12.904,77.506,12.906,77.506,300,35,0,0,residential
N3_3,N2_3,12.906,77.506,12.904,77.506,300,35,0,0,residential
N2_4,N3_4,12.904,77.508,12.906,77.508,300,35,0,0,residential
N3_4,N2_4,12.906,77.508,12.904,77.508,300,35,0,0,residential
N3_0,N3_1,12.906,77.5,12.906,77.502,300,40,0,0,residential
N3_1,N3_0,12.906,77.502,12.906,77.5,300,40,0,0,residential
